"year","areaTotal_ha","areaZone_ha","zone"
1994,42.1528504483,42.152850448321,"G4"
1994,511.661817744,405.810630943,"G3"
1994,448.248787726,448.248787726,"G5"
1995,40495.2334622,3406.569846636,"G6"
1995,55.3236317371,55.3236317372,"G5"
1995,2153.60558159,2153.60558158646,"G3"
1995,3577.51848534,3577.5184853418,"G3"
1995,224.137988,224.137988,"G3"
1995,514.498690239,514.4986902383,"G8"
1995,2001.36838258,2001.36838258,"G6"
1995,4457.92851929,2215.79655118,"G1"
1995,758.686173762,758.686173763,"G4"
1995,41.2082066966,41.2082066967,"G5"
1995,762.357906557,762.357906556,"G2"
1995,925.409395396,925.409395396,"G1"
1995,50.750170021,50.750170021,"G6"
1995,120.520941051,120.520941051,"G6"
1995,38.1637285842,38.1637285841,"G5"
1995,38.9537846184,38.9537846185,"G6"
1995,65.5272247076,65.5272247075,"G5"
1995,154.076723482,154.07672348144,"G5"
1995,42.1528470171,42.15284701694,"G5"
1995,46.2331168787,46.2331168789,"G5"
1995,24.3710254579,24.3710254579,"G3"
1995,18.8261060568,18.8261060568,"G5"
1995,33.9120154099,33.9120154097,"G8"
1995,71.705658592,71.705658591776,"G1"
1995,395.047947661,395.047947661,"G6"
1995,118.481623764,118.4816237648,"G8"
1995,48.6708208822,48.6708208824,"G5"
1995,512.891853306,512.891853306,"G5"
1995,76.8622257285,76.8622257283,"G5"
1995,42.9193917514,42.9193917512,"G5"
1995,202.597203315,202.597203314,"G6"
1995,289.74704126,289.74704126,"G6"
1995,283.740559111,283.7405591113,"G5"
1995,28.749916269,28.74991626908,"G5"
1995,34.8942176696,34.8942176694,"G8"
1995,363.917418642,363.9174186408,"G1"
1995,37.5749920986,37.574992098421,"G4"
1995,453.438505776,453.4385057757,"G4"
1995,3043.14391948,3043.143919473,"G3"
1995,411.212226417,411.212226417,"G4"
1995,27128.2831656,25510.0266748887,"G3"
1995,17139.821175,12724.56406374,"G3"
1995,58.307404282,58.3074042821,"G10"
1995,27.7869849484,27.7869849483,"G4"
1995,41.9401282724,41.94012787648,"G3"
1995,199.179830331,199.179830331,"G8"
1995,1399.58973647,1399.589737371,"G3"
1995,2251.4957598,2251.4957598045,"G3"
1995,7788.88478426,3587.96650867,"G9"
1995,21.2522589153,21.2522589152,"G8"
1995,90023.9781187,83322.9243354794,"G1"
1995,36166.8491194,34642.749847806,"G2"
1995,42.4960020625,42.4960020625,"G5"
1995,33.8733117208,33.8733117208,"G10"
1995,12692.7618398,11570.4250068508,"G5"
1995,31421.0497226,31421.0497330956,"G3"
1995,194484.435018,139624.954083128,"G3"
1995,150.416430082,147.2961518907,"G4"
1995,53147.0937488,50499.9707629,"G5"
1995,103.530256254,103.5302562544,"G5"
1995,120.586672005,120.586672005,"G6"
1995,10380.1750632,8531.676781561,"G4"
1995,1095.19300489,1095.19300489,"G8"
1996,128.486625557,128.480117695,"G3"
1996,12036.3141476,11388.5241044285,"G4"
1996,15609.3727283,15117.331369945,"G5"
1996,85.1764095357,85.1764095356,"G6"
1996,49.1826085073,49.1826085073,"G6"
1996,278.806144469,278.8061444683,"G5"
1996,3001.78632705,3001.78632706,"G3"
1996,17.7505112625,17.7505112625,"G6"
1996,198.12518949,198.125189490101,"G8"
1996,28.4679624706,25.9702864526,"G4"
1996,529.822773385,529.822773385,"G5"
1996,41.8750469887,36.7404337731,"G3"
1996,11861.9130994,11861.9130993813,"G3"
1996,289.04895585,289.04895585,"G7"
1996,33788.7153746,33788.7153745956,"G3"
1996,52.4131576891,52.4131576891114,"G6"
1996,29.9405134604,29.9405134605,"G6"
1996,14322.4101566,13394.6366924581,"G4"
1996,15227.7364272,11515.425249584,"G8"
1996,26.4747865703,26.4747865702,"G4"
1996,48.7127282824,48.71272828239,"G4"
1996,2404.33332643,1838.59199516043,"G7"
1996,9457.01102176,5783.61429871,"G4"
1996,268.089957032,268.089957032,"G4"
1996,808.604848852,807.879133813,"G4"
1996,48.0523177184,48.0523177186,"G8"
1996,38.9701244127,38.9701244127,"G5"
1996,104.550370903,104.550370903,"G7"
1996,4457.28882474,4398.458296951,"G8"
1996,24.4598188752,24.4598188751,"G6"
1996,67.6478880162,67.647888016,"G8"
1996,4868.70624887,4868.70624887219,"G1"
1996,84.5188468326,84.5188468329,"G7"
1996,16.7887259216,16.7887259215,"G6"
1996,53.5977274219,53.5977274218866,"G8"
1996,598.761374967,598.761374967,"G8"
1996,17.7568734955,17.7568734955,"G5"
1996,70.986555914,70.9865559139,"G5"
1996,42.2303992119,42.2303992119,"G4"
1996,2535.58604599,2535.58604598432,"G4"
1996,17.4980599435,17.4980599435,"G1"
1996,60.7597505807,60.7597505808,"G6"
1996,257.538533097,257.538533097,"G8"
1996,198.821833141,198.8218331404,"G6"
1996,1408.40876697,1408.4087669737,"G1"
1996,140.364151553,140.36415155343,"G4"
1996,6800.16302638,6785.45700882,"G4"
1996,1163.5365539,1138.00936216,"G8"
1996,40.1839702338,40.1839702339,"G6"
1996,83.9584936856,83.9584936855681,"G4"
1996,621.174115762,621.174115761,"G6"
1996,178.447932335,178.4479323346,"G4"
1996,16102.7044785,9771.58864963195,"G4"
1996,81.8096787389,81.809678739,"G5"
1996,174.898036613,174.89803661296,"G4"
1996,309.060112226,309.060112226,"G4"
1996,11606.1020676,11606.1020676062,"G4"
1996,2015.17283832,2015.17283832187,"G7"
1996,865.386426197,865.386426197,"G5"
1996,168.099845803,108.455712462,"G6"
1996,91.7781491778,91.778149178,"G5"
1996,199.577320576,199.577320575,"G3"
1996,44.0976554029,44.097655403,"G6"
1996,4596.56712546,4596.567125455,"G4"
1996,174.078973532,131.7261848774,"G5"
1996,60.7203240583,60.7203240583,"G5"
1996,3421.18280822,3421.18280822,"G8"
1996,37.5419571269,37.5419571268,"G8"
1996,70.5373717198,70.5373717198,"G6"
1996,288.700405249,288.700405249,"G6"
1996,169.827610381,169.827610381,"G8"
1996,580.706621313,580.706621313,"G8"
1996,25.4043960363,25.4043960363,"G6"
1996,23.7742422139,23.7742422137,"G6"
1996,6232.98436093,6232.98436092099,"G3"
1996,22.1340851418,22.134085141764,"G3"
1996,76.0207797517,76.020779751456,"G5"
1996,26.206686494,26.206686494144,"G3"
1996,17.9739902839,17.97399028395,"G3"
1996,21.8923800665,21.8923800664,"G6"
1996,873.345139907,873.345139907,"G7"
1996,553.837444527,553.83744452667,"G5"
1996,24833.774418,24699.1832780023,"G4"
1996,30.7197293826,30.7197293825,"G8"
1996,334.244419124,278.800607968,"G8"
1996,130.329123305,130.32912330467,"G5"
1996,1548.4927991,1548.492799107,"G4"
1996,161.957557185,161.9575571857,"G3"
1996,635.987607606,635.987607606,"G5"
1996,36.9846429209,36.9846429211,"G5"
1996,17.9986147366,17.9986147365,"G6"
1996,33.7086107596,33.7086107596,"G6"
1996,385.506798157,385.506798157,"G6"
1996,50.0063136232,50.0063136231114,"G6"
1996,954.179736321,954.179736321,"G6"
1996,87.627774063,87.6277740628,"G6"
1996,54.354127039,54.354127039156,"G5"
1996,74.0848531476,74.0848531477,"G8"
1996,1081.59876963,1081.59876963,"G5"
1996,605.030348005,605.030348005,"G7"
1996,40.3205384024,40.3205384023,"G8"
1996,1357.53886251,1241.52186147,"G10"
1996,146.990977406,146.990977406,"G4"
1996,2012.67558624,1270.44132707,"G4"
1996,527.204331088,527.204331089,"G9"
1996,85.6214918697,85.6214918698,"G3"
1996,228.588774485,221.712867959,"G7"
