"ID_PE","suivi","DOM_BIO","TYPE_COUV","GR_ESS","CL_AGE","DEP_SUR","CL_DRAI","den","ST","denPIG","STPIG","denEPN","STEPN","DQM","denRel2sp","codSol","codSOl","esse"
103307104,"PET3","6","R","EE","070","1A",31,900,17.027,0.25,0.202913020496858,0.722222222222222,0.774475832501321,155.203986662019,0.972222222222222,"Tills","Tills","EPN"
103307202,"PET3","6","R","EE","120","1A",30,475,11.741,0,0,1,1,177.40293414019,1,"Tills","Tills","EPN"
103307203,"PET3","6","R","EE","070","1A",30,525,16.25,0,0,0.952380952380952,0.951692307692308,198.519005216828,0.952380952380952,"Tills","Tills","EPN"
103307204,"PET3","6","R","EE","070","1A",31,1050,13.383,0.142857142857143,0.200104610326534,0.857142857142857,0.799895389673466,127.390531259067,1,"Tills","Tills","EPN"
103307301,"PET3","6","R","EE","120","1A",40,875,10.822,0,0,0.885714285714286,0.886065422287932,125.488751246016,0.885714285714286,"Tills","Tills","EPN"
103307302,"PET3","6","R","EE","120","1A",40,1150,13.139,0,0,0.804347826086957,0.844584823806987,120.611104753271,0.804347826086957,"Tills","Tills","EPN"
103307303,"PET3","6","R","EE","120","1A",40,600,7.092,0,0,0.958333333333333,0.945713479977439,122.677183774203,0.958333333333333,"Tills","Tills","EPN"
103307304,"PET3","6","R","EE","120","1A",30,1325,20.382,0,0,0.905660377358491,0.93675792365813,139.949231767437,0.905660377358491,"Tills","Tills","EPN"
103307401,"PET3","6","R","ES","120","1A",30,825,16.194,0,0,0.515151515151515,0.641595652710881,158.090274124173,0.515151515151515,"Tills","Tills","EPN"
103307402,"PET3","6","R","EE","120","1A",30,375,4.132,0,0,1,1,118.445777173588,1,"Tills","Tills","EPN"
103307403,"PET3","6","R","EE","120","1A",30,700,8.389,0,0,1,1,123.526784491596,1,"Tills","Tills","EPN"
103307404,"PET3","6","R","EE","120","1A",30,675,10.422,0,0,0.925925925925926,0.954039531759739,140.209908960497,0.925925925925926,"Tills","Tills","EPN"
103307501,"PET3","6","R","EE","120","1A",30,450,10.502,0.444444444444444,0.451723481241668,0.555555555555556,0.548276518758332,172.37917958068,1,"Tills","Tills","EPN"
103307503,"PET3","6","R","EE","120","1A",40,850,8.05,0,0,0.970588235294118,0.975652173913043,109.810415958961,0.970588235294118,"Tills","Tills","EPN"
103307504,"PET3","6","R","EE","120","1A",40,900,14.285,0.25,0.307245362268113,0.75,0.692754637731887,142.158858310545,1,"Tills","Tills","EPN"
103307601,"PET3","6","R","EE","120","1A",30,1275,13.186,0,0,1,1,114.751006273098,1,"Tills","Tills","EPN"
103307602,"PET3","6","R","EE","120","1A",30,1400,20.192,0,0,0.875,0.857270206022187,135.512922123138,0.875,"Tills","Tills","EPN"
103307603,"PET3","6","R","EE","120","1A",30,650,11.34,0,0,0.923076923076923,0.957760141093475,149.040709138331,0.923076923076923,"Tills","Tills","EPN"
103307604,"PET3","6","R","EE","120","1A",30,875,11.818,0,0,0.942857142857143,0.959468607209342,131.136330106955,0.942857142857143,"Tills","Tills","EPN"
